id,floor,max_floor,size,rent,maintenance_fee,deposit,key_money,layout,year_built,nearest_station,location,url
15486,7,7,62.19,170000,8000,340000,170000,1LDK,2007,6,Shirokane| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/251716
12148,15,21,61.54,279000,18000,558000,279000,2LDK,2015,1,Sasazuka| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/508826
10122,3,3,20.7,75500,3000,0,75500,1K,2016,16,Wakagi| Itabashi-ku| Tokyo,http://www.realestate.co.jp/rent/view/453474
8264,3,5,22.4,78500,8550,0,0,1K,2003,5,Nishimagome| Ota-ku| Tokyo,http://www.realestate.co.jp/rent/view/466274
19819,3,5,21.02,85000,5000,85000,85000,1K,2008,8,Yamabukicho| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/129728
15253,2,4,34.2,82500,8500,82500,0,1K,1988,8,Ikegami| Ota-ku| Tokyo,http://www.realestate.co.jp/rent/view/228810
11031,1,4,170.0,800000,0,3200000,0,3LDK,1988,8,Shibuya| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/427031
21677,3,29,51.59,198000,0,396000,198000,1LDK,2007,4,Yotsuya| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/261909
7711,12,12,28.18,151000,4000,151000,151000,1K,2017,7,Sendagaya| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/494784
8843,2,9,18.13,63000,10000,0,0,1R,2007,4,Ryogoku| Sumida-ku| Tokyo,http://www.realestate.co.jp/rent/view/485546
11292,4,10,25.67,109000,10000,109000,0,1K,2013,7,Ebisu| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/358024
17731,6,12,22.8,83000,5000,166000,0,1K,2005,2,Higashikanda| Chiyoda-ku| Tokyo,http://www.realestate.co.jp/rent/view/135494
7307,2,2,25.65,104500,5000,104500,104500,1K,2017,11,Mishuku| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/495196
21161,4,6,73.67,370000,0,370000,0,1SLDK,2008,12,Shimomeguro| Meguro-ku| Tokyo,http://www.realestate.co.jp/rent/view/257433
14518,8,8,22.83,80100,6400,80100,0,1K,2011,7,Kamata| Ota-ku| Tokyo,http://www.realestate.co.jp/rent/view/403038
8694,6,8,20.64,83500,10000,0,83500,1K,2014,4,Shimotakaido| Suginami-ku| Tokyo,http://www.realestate.co.jp/rent/view/428611
18975,3,3,30.28,169000,10000,169000,0,2LDK,1987,7,Yayoicho| Nakano-ku| Tokyo,http://www.realestate.co.jp/rent/view/58927
10530,13,13,94.92,262000,10000,262000,0,1LDK,2004,2,Arakicho| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/511078
11000,6,10,40.03,121000,0,121000,121000,1LDK,2014,5,Nishiwaseda(2-chome1-ban1-23-go.2-ban)| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/358014
9874,3,4,21.47,66000,3000,0,0,1K,2005,12,Ayase| Adachi-ku| Tokyo,http://www.realestate.co.jp/rent/view/485591
17011,2,4,20.81,89000,6500,0,0,1K,2010,12,Daizawa| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/242939
21581,1,8,29.51,132000,13000,264000,0,1K,2007,6,Hiroo| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/265251
14158,1,2,20.04,51500,5540,0,0,1K,2005,9,Ogawa| Machida-shi| Tokyo,http://www.realestate.co.jp/rent/view/407242
19367,7,7,49.97,159200,16800,159200,159200,1LDK,2012,5,Shinkawa| Chuo-ku| Tokyo,http://www.realestate.co.jp/rent/view/131320
7457,2,2,25.52,112500,16000,112500,225000,1K,2018,5,Kitazawa| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/494218
11835,6,6,24.07,75000,5000,75000,75000,1DK,1988,4,Minamioi| Shinagawa-ku| Tokyo,http://www.realestate.co.jp/rent/view/439625
20332,3,5,18.12,65000,5000,65000,0,1R,1992,6,Hatagaya| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/162202
13691,12,12,25.08,76000,8000,76000,76000,1K,2008,3,Nihonzutsumi| Taito-ku| Tokyo,http://www.realestate.co.jp/rent/view/468568
12649,28,28,119.3,1140000,0,3420000,0,3LDK,2000,2,Shiba(1-3-chome)| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/509688
18469,1,8,58.9,175000,10000,350000,0,1LDK,2003,6,Kitashinagawa(1-4-chome)| Shinagawa-ku| Tokyo,http://www.realestate.co.jp/rent/view/151412
